,file_number,word,frequency
0,21_18514,verlängerung,44
1,21_18514,grundstücke,41
2,21_18514,entwicklung,38
3,21_18514,wohnungsbau,37
4,21_18514,wohnungen,35
5,21_18514,bzw,32
6,21_18514,wohnraum,29
7,21_18514,städtischen,28
8,21_18514,insbesondere,28
9,21_18514,erbbaurechten,27
10,21_18514,geförderten,25
11,21_18514,städtische,23
12,21_18514,grundstücken,23
13,21_18514,dabei,22
14,21_18514,erbbaurecht,21
15,21_18514,innerhalb,21
16,21_18514,ziel,21
17,21_18514,je,20
18,21_18514,erbbauzins,20
19,21_18514,mehr,20
20,22_2227,objekt,10
21,22_2227,mio,10
22,22_2227,harburger,9
23,22_2227,irrgarten,9
24,22_2227,harburg,9
25,22_2227,gmbh,8
26,22_2227,immowertv,8
27,22_2227,ivfl,7
28,22_2227,kg,7
29,22_2227,sprig,6
30,22_2227,höhe,5
31,22_2227,verkehrswert,5
32,22_2227,immobilien,5
33,22_2227,städtischen,4
34,22_2227,bzw,4
35,22_2227,wege,4
36,22_2227,erfolgt,4
37,22_2227,käufer,4
38,22_2227,rathausforum,4
39,22_2227,ca,4
40,22_3490,hamburgnord,22
41,22_3490,hamburgmitte,19
42,22_3490,altona,17
43,22_3490,ausübung,12
44,22_3490,städtebaulichen,11
45,22_3490,vorkaufsrechts,9
46,22_3490,eimsbüttel,8
47,22_3490,st,8
48,22_3490,erhaltungsverordnungen,8
49,22_3490,vorkaufsrechte,8
50,22_3490,vorkaufsrecht,8
51,22_3490,gebiet,8
52,22_3490,gebiete,8
53,22_3490,kraft,7
54,22_3490,elbchaussee,7
55,22_3490,wandsbek,7
56,22_3490,harburg,7
57,22_3490,vorkaufsrechtes,6
58,22_3490,städtebauliche,6
59,22_3490,ausgeübt,6
60,22_3583,aachener,0
61,22_3583,postnutzung,0
62,22_3583,portal,0
63,22_3583,port,0
64,22_3583,populär,0
65,22_3583,populationen,0
66,22_3583,poppenhusenstr,0
67,22_3583,poppenbüttler,0
68,22_3583,poppenbütteler,0
69,22_3583,poppenbüttel,0
70,22_3583,poolstraße,0
71,22_3583,pools,0
72,22_3583,pool,0
73,22_3583,polyzyklische,0
74,22_3583,pollhorner,0
75,22_3583,polizisten,0
76,22_3583,polizeivollzugsbeamtinnen,0
77,22_3583,polizeivollzugsbeamten,0
78,22_3583,polizeisenators,0
79,22_3583,polizeisenator,0
80,22_4805,altona,37
81,22_4805,ausübung,19
82,22_4805,fällen,15
83,22_4805,vielen,11
84,22_4805,objekte,11
85,22_4805,ottensen,11
86,22_4805,erhaltungsverordnung,10
87,22_4805,angekauften,10
88,22_4805,vorkaufsrechts,9
89,22_4805,vorkaufsrecht,8
90,22_4805,sozialer,7
91,22_4805,eimsbüttel,6
92,22_4805,gesamt,6
93,22_4805,sozerhvo,6
94,22_4805,gebieten,5
95,22_4805,sozialen,5
96,22_4805,sternschanze,5
97,22_4805,vorkaufsrechte,5
98,22_4805,nordwest,5
99,22_4805,verwaltung,4
100,22_4917,senatsvertreterinnen,25
101,22_4917,htv,23
102,22_4917,nr,22
103,22_4917,hätten,21
104,22_4917,ausschuss,20
105,22_4917,verbraucherschutz,20
106,22_4917,justiz,20
107,22_4917,tierheims,19
108,22_4917,tiere,19
109,22_4917,abg,17
110,22_4917,tierheim,16
111,22_4917,juni,16
112,22_4917,könne,15
113,22_4917,sodass,13
114,22_4917,mehr,13
115,22_4917,weshalb,12
116,22_4917,weitere,12
117,22_4917,jedoch,11
118,22_4917,abgeordneten,10
119,22_4917,abs,10
120,22_5190,beispiel,9
121,22_5190,wohnungsbau,8
122,22_5190,überbauung,5
123,22_5190,büro,5
124,22_5190,potenziale,4
125,22_5190,aktuell,3
126,22_5190,verwaltungsgebäuden,3
127,22_5190,neubau,3
128,22_5190,potenzial,3
129,22_5190,flächenpotenziale,3
130,22_5190,grundsätzlich,3
131,22_5190,sprinkenhof,2
132,22_5190,sieht,2
133,22_5190,umzug,2
134,22_5190,schon,2
135,22_5190,wohnbebauung,2
136,22_5190,verwaltungsgebäude,2
137,22_5190,wohnraum,2
138,22_5190,ehemalige,2
139,22_5190,gmbh,2
140,22_5213,einzelplan,27
141,22_5213,straße,25
142,22_5213,tennesportplatzumwandlung,19
143,22_5213,einrichtungen,12
144,22_5213,active,10
145,22_5213,sportanlagen,10
146,22_5213,kommunaler,9
147,22_5213,sportanlage,9
148,22_5213,sport,9
149,22_5213,str,8
150,22_5213,förderung,8
151,22_5213,aufschlüsseln,8
152,22_5213,millionen,7
153,22_5213,bäderlandim,7
154,22_5213,art,7
155,22_5213,damm,7
156,22_5213,maßnahme,7
157,22_5213,sportstätten,6
158,22_5213,city,6
159,22_5213,bezirk,6
160,22_5229,bramfeld,11
161,22_5229,kundenzentrum,7
162,22_5229,räumlichkeiten,7
163,22_5229,genutzt,7
164,22_5229,feuerwehr,6
165,22_5229,räume,5
166,22_5229,schulungen,4
167,22_5229,seniorentreffs,4
168,22_5229,beispielsweise,3
169,22_5229,nutzer,3
170,22_5229,option,3
171,22_5229,sicht,3
172,22_5229,mietvertrag,3
173,22_5229,mietvertrages,3
174,22_5229,hdj,3
175,22_5229,dienst,3
176,22_5229,kleine,2
177,22_5229,freiwilligen,2
178,22_5229,freiwillige,2
179,22_5229,träger,2
180,22_5246,bevölkerungsschutz,11
181,22_5246,sirenen,8
182,22_5246,übungen,8
183,22_5246,katastrophen,7
184,22_5246,zkd,4
185,22_5246,szenarien,4
186,22_5246,bundes,4
187,22_5246,zuständige,4
188,22_5246,katastrophenschutz,4
189,22_5246,bevölkerung,4
190,22_5246,feuerwehr,3
191,22_5246,beteiligung,3
192,22_5246,geführt,3
193,22_5246,programm,3
194,22_5246,erfolgt,3
195,22_5246,eingesetzt,3
196,22_5246,hierfür,3
197,22_5246,inneres,3
198,22_5246,regelmäßig,3
199,22_5246,organisationen,3
200,22_5267,frauen,73
201,22_5267,gremien,57
202,22_5267,hmbgrembg,56
203,22_5267,juli,39
204,22_5267,besetzung,35
205,22_5267,mitglieder,32
206,22_5267,männern,31
207,22_5267,sitze,29
208,22_5267,vorgaben,26
209,22_5267,besetzt,25
210,22_5267,beschluss,22
211,22_5267,beteiligungen,21
212,22_5267,stichtag,20
213,22_5267,männer,19
214,22_5267,hamburgischen,19
215,22_5267,gem,18
216,22_5267,stiftung,17
217,22_5267,entwicklung,17
218,22_5267,verteilung,17
219,22_5267,kollegialen,17
220,22_5350,darzulegen,5
221,22_5350,überflutungen,4
222,22_5350,bevölkerung,4
223,22_5350,klimawandels,3
224,22_5350,lösungen,3
225,22_5350,zweiten,3
226,22_5350,hochwasserschutz,3
227,22_5350,schutz,3
228,22_5350,folgen,3
229,22_5350,extremwetterereignissen,3
230,22_5350,gemeinsam,3
231,22_5350,bürgerinnen,3
232,22_5350,sensibilisieren,3
233,22_5350,hilfe,3
234,22_5350,katastrophenfall,3
235,22_5350,bereich,2
236,22_5350,daher,2
237,22_5350,ausgesetzt,2
238,22_5350,verfügung,2
239,22_5350,hitzewellen,2
240,22_5374,erbbaurechtssiedlung,7
241,22_5374,tonndorf,6
242,22_5374,einleitung,3
243,22_5374,erbbaurechtsgrundstücke,3
244,22_5374,erbbaurechtsnehmer,3
245,22_5374,insbesondere,2
246,22_5374,einzelfall,2
247,22_5374,bauliche,2
248,22_5374,stichstraße,2
249,22_5374,bebauungsplanverfahrens,2
250,22_5374,mögliche,2
251,22_5374,daher,2
252,22_5374,dürfen,2
253,22_5374,grundstücksbesitzer,2
254,22_5374,folgt,1
255,22_5374,veräußern,1
256,22_5374,erhalten,1
257,22_5374,informiert,1
258,22_5374,verfahrens,1
259,22_5374,vorbemerkung,1
260,22_5381,wahlkreis,61
261,22_5381,angeben,50
262,22_5381,vergleich,38
263,22_5381,personen,35
264,22_5381,rahlstedt,34
265,22_5381,quelle,33
266,22_5381,entwicklung,25
267,22_5381,okt,23
268,22_5381,nov,23
269,22_5381,dez,21
270,22_5381,aug,21
271,22_5381,sep,21
272,22_5381,jul,21
273,22_5381,prozentualer,20
274,22_5381,davon,19
275,22_5381,zahl,17
276,22_5381,xwie,16
277,22_5381,ea,16
278,22_5381,sgb,16
279,22_5381,zahlen,14
280,22_5385,münzviertel,16
281,22_5385,gmbh,14
282,22_5385,viva,14
283,22_5385,grundstücks,9
284,22_5385,agua,9
285,22_5385,con,9
286,22_5385,konzeptausschreibung,7
287,22_5385,hamburgmitte,7
288,22_5385,vorbemerkung,7
289,22_5385,schultzweg,6
290,22_5385,vergabe,6
291,22_5385,amsinckstraße,6
292,22_5385,insbesondere,5
293,22_5385,verkauft,5
294,22_5385,haus,5
295,22_5385,quadratmeter,5
296,22_5385,münzviertels,5
297,22_5385,städtischen,5
298,22_5385,firma,5
299,22_5385,ehemaligen,5
300,22_5404,fabriciusstieg,6
301,22_5404,bebauung,3
302,22_5404,drei,2
303,22_5404,bramfeld,2
304,22_5404,neben,2
305,22_5404,geplant,2
306,22_5404,späteren,2
307,22_5404,mehrfamilienhaus,2
308,22_5404,unbebaute,2
309,22_5404,wohneinheiten,2
310,22_5404,breite,1
311,22_5404,breit,1
312,22_5404,ausgeschrieben,1
313,22_5404,bebauungsplan,1
314,22_5404,befindet,1
315,22_5404,genehmigt,1
316,22_5404,gemäß,1
317,22_5404,sandro,1
318,22_5404,verwaltet,1
319,22_5404,verkauft,1
320,22_5409,sirenen,5
321,22_5409,warnung,4
322,22_5409,ab,3
323,22_5409,sirenenstandorte,3
324,22_5409,anlagen,3
325,22_5409,beispiel,3
326,22_5409,erkenntnisse,2
327,22_5409,zuge,2
328,22_5409,dabei,2
329,22_5409,bund,2
330,22_5409,bevölkerung,2
331,22_5409,warntag,2
332,22_5409,gemeinsam,1
333,22_5409,zugeordnet,1
334,22_5409,ordnungsgemäß,1
335,22_5409,kontinuierlich,1
336,22_5409,notfall,1
337,22_5409,bundesweiten,1
338,22_5409,bevor,1
339,22_5409,erreicht,1
340,22_5414,fvanlagen,7
341,22_5414,immobilien,7
342,22_5414,energie,6
343,22_5414,stadteigenen,6
344,22_5414,dachflächen,5
345,22_5414,gmbh,5
346,22_5414,solar,4
347,22_5414,geprüft,4
348,22_5414,vielen,3
349,22_5414,installierung,2
350,22_5414,gebäudeeinheiten,2
351,22_5414,fotovoltaikanlagen,2
352,22_5414,begonnen,2
353,22_5414,cdu,2
354,22_5414,müssen,2
355,22_5414,festgestellt,2
356,22_5414,ausgeschrieben,2
357,22_5414,einleitung,2
358,22_5414,finanzsenator,2
359,22_5414,ergebnis,2
360,22_5415,barmbek,4
361,22_5415,ff,3
362,22_5415,neben,2
363,22_5415,fabriciusstraße,2
364,22_5415,hintergrund,2
365,22_5415,dlrg,2
366,22_5415,angedacht,2
367,22_5415,durchgeführt,1
368,22_5415,hohen,1
369,22_5415,überlegungen,1
370,22_5415,ffw,1
371,22_5415,erneut,1
372,22_5415,aufweist,1
373,22_5415,seitens,1
374,22_5415,anwohner,1
375,22_5415,gmbh,1
376,22_5415,aufwertung,1
377,22_5415,ratten,1
378,22_5415,rattenbekämpfung,1
379,22_5415,bodendecker,1
380,22_5428,stintfang,10
381,22_5428,hafentor,10
382,22_5428,zeughausstraße,7
383,22_5428,belange,6
384,22_5428,städtebaulichen,6
385,22_5428,neubau,6
386,22_5428,unternommen,5
387,22_5428,stintfangs,5
388,22_5428,bebauungsplan,5
389,22_5428,neustadt,5
390,22_5428,alten,5
391,22_5428,erhaltungsverordnung,5
392,22_5428,bastion,5
393,22_5428,hamburgs,4
394,22_5428,denkmalschutz,4
395,22_5428,albertus,4
396,22_5428,rechnen,4
397,22_5428,wallanlagen,4
398,22_5428,freie,4
399,22_5428,erkenntnisse,3
400,22_5435,itprojekte,10
401,22_5435,aktuell,9
402,22_5435,itd,7
403,22_5435,angebote,6
404,22_5435,stellen,6
405,22_5435,abgeschlossen,6
406,22_5435,itprojekten,6
407,22_5435,umsetzung,5
408,22_5435,serviceportal,5
409,22_5435,externe,5
410,22_5435,planung,5
411,22_5435,aufrufe,5
412,22_5435,privatpersonen,5
413,22_5435,anlage,5
414,22_5435,vv,5
415,22_5435,stand,5
416,22_5435,amt,5
417,22_5435,verwaltungsvorschriften,4
418,22_5435,version,4
419,22_5435,projekt,4
420,22_5448,grundsteuer,9
421,22_5448,bauland,4
422,22_5448,hebesatz,3
423,22_5448,deutlich,2
424,22_5448,zahlreiche,2
425,22_5448,grundstücke,2
426,22_5448,einführen,2
427,22_5448,grundsteuerreform,2
428,22_5448,aktiviert,2
429,22_5448,grundsteuergesetzes,2
430,22_5448,mehr,2
431,22_5448,führen,1
432,22_5448,klar,1
433,22_5448,grundstückskatasters,1
434,22_5448,absatz,1
435,22_5448,dienstes,1
436,22_5448,auseinandersetzungen,1
437,22_5448,zielsetzung,1
438,22_5448,finanzschwache,1
439,22_5448,schwierigen,1
440,22_5452,warnsysteme,5
441,22_5452,warnung,5
442,22_5452,bevölkerung,4
443,22_5452,entsprechende,4
444,22_5452,digitalen,4
445,22_5452,darzulegen,4
446,22_5452,infrastruktur,4
447,22_5452,auszubauen,3
448,22_5452,digitale,3
449,22_5452,analoge,3
450,22_5452,versiegelten,3
451,22_5452,folgen,3
452,22_5452,rettungskräfte,3
453,22_5452,technisch,3
454,22_5452,verbessern,3
455,22_5452,erweitern,2
456,22_5452,antrag,2
457,22_5452,sms,2
458,22_5452,ausstattung,2
459,22_5452,cellbroadcasting,2
460,22_5460,absatz,74
461,22_5460,satz,53
462,22_5460,grund,39
463,22_5460,grundsteuer,22
464,22_5460,nummer,20
465,22_5460,äquivalenzzahl,19
466,22_5460,boden,19
467,22_5460,bodens,19
468,22_5460,gilt,18
469,22_5460,grundsteuermessbetrag,15
470,22_5460,gebäudeflächen,14
471,22_5460,absätze,14
472,22_5460,wohnfläche,14
473,22_5460,quadratmeter,13
474,22_5460,fassung,13
475,22_5460,einheit,12
476,22_5460,äquivalenzbetrag,12
477,22_5460,grundsteuermesszahl,12
478,22_5460,wohnraumförderungsgesetz,12
479,22_5460,bewertungsgesetz,12
480,22_5470,nn,5
481,22_5470,sturmflut,5
482,22_5470,aktuellen,4
483,22_5470,beispielsweise,3
484,22_5470,wasserstände,3
485,22_5470,gegebenenfalls,3
486,22_5470,sicherzustellen,2
487,22_5470,gefahr,2
488,22_5470,analog,2
489,22_5470,hohe,2
490,22_5470,sturmfluten,2
491,22_5470,naturkatastrophe,2
492,22_5470,ebenfalls,2
493,22_5470,durchzuführen,2
494,22_5470,februar,2
495,22_5470,klimawandel,2
496,22_5470,zwanzig,2
497,22_5470,niedersachsen,2
498,22_5470,informationsquellen,2
499,22_5470,stand,2
500,22_5505,immobilien,9
501,22_5505,erbracht,8
502,22_5505,dichtheitsnachweise,7
503,22_5505,dichtheitsnachweis,4
504,22_5505,stadteigenen,4
505,22_5505,hamburgischen,4
506,22_5505,angaben,4
507,22_5505,gmbh,3
508,22_5505,abwassergesetzes,3
509,22_5505,abwasser,3
510,22_5505,circa,3
511,22_5505,zuständigen,3
512,22_5505,entwässerungsanlagen,3
513,22_5505,bisher,2
514,22_5505,erfolgen,2
515,22_5505,hinaus,2
516,22_5505,zeit,2
517,22_5505,verfügung,2
518,22_5505,vorzulegen,2
519,22_5505,darüber,2
520,22_5516,umfrage,6
521,22_5516,haushalte,5
522,22_5516,wohngebäude,5
523,22_5516,erhebung,5
524,22_5516,eigentümer,5
525,22_5516,onlinebefragung,5
526,22_5516,befragung,5
527,22_5516,insgesamt,4
528,22_5516,eigentümerinnen,4
529,22_5516,vorbemerkung,3
530,22_5516,altersgruppe,3
531,22_5516,wohnimmobilien,3
532,22_5516,angeschriebenen,3
533,22_5516,repräsentative,3
534,22_5516,ergebnisse,3
535,22_5516,angeschrieben,3
536,22_5516,teilzunehmen,3
537,22_5516,gebeten,2
538,22_5516,verwalter,2
539,22_5516,mittlerweile,2
540,22_5520,freiluftschule,7
541,22_5520,wohldorf,7
542,22_5520,sondervermögen,5
543,22_5520,schulimmobilien,4
544,22_5520,bredenbekstraße,4
545,22_5520,einzelnen,4
546,22_5520,planung,3
547,22_5520,abgeschlossen,3
548,22_5520,planungen,3
549,22_5520,juli,3
550,22_5520,zusammenhang,3
551,22_5520,sbh,3
552,22_5520,mietvertrag,2
553,22_5520,überlegungen,2
554,22_5520,schulbehörde,2
555,22_5520,stand,2
556,22_5520,direkt,2
557,22_5520,umsetzung,2
558,22_5520,einleitung,2
559,22_5520,ausgeführt,2
560,22_5589,katastrophenschutz,48
561,22_5589,übungen,23
562,22_5589,feuerwehr,23
563,22_5589,stellen,21
564,22_5589,katastrophenschutzbehörden,19
565,22_5589,vollübung,19
566,22_5589,planungen,18
567,22_5589,richtlinie,18
568,22_5589,katastrophenschutzes,17
569,22_5589,besondere,15
570,22_5589,polizei,15
571,22_5589,beteiligten,15
572,22_5589,aufgaben,14
573,22_5589,bevölkerung,14
574,22_5589,insbesondere,12
575,22_5589,sinne,11
576,22_5589,zudem,10
577,22_5589,darüber,10
578,22_5589,stabsrahmenübung,10
579,22_5589,bereich,10
580,22_5595,möge,7
581,22_5595,wilhelmsburg,7
582,22_5595,millionen,4
583,22_5595,höhe,4
584,22_5595,mittel,4
585,22_5595,dafür,4
586,22_5595,dauerausstellung,4
587,22_5595,verfügung,3
588,22_5595,museum,3
589,22_5595,tragen,3
590,22_5595,sorge,3
591,22_5595,könig,3
592,22_5595,elbinsel,3
593,22_5595,denkmäler,2
594,22_5595,hinweist,2
595,22_5595,findling,2
596,22_5595,inschrift,2
597,22_5595,bedeutung,2
598,22_5595,denkmälern,2
599,22_5595,ersten,2
600,22_5619,versiegelungsgrad,3
601,22_5619,ziel,2
602,22_5619,lassen,2
603,22_5619,versiegelungskarte,2
604,22_5619,versiegelung,2
605,22_5619,beschließen,1
606,22_5619,hohe,1
607,22_5619,graage,1
608,22_5619,abgeordneten,1
609,22_5619,verursachen,1
610,22_5619,erreichen,1
611,22_5619,veröffentlichen,1
612,22_5619,versickern,1
613,22_5619,fraktion,1
614,22_5619,niedmers,1
615,22_5619,boden,1
616,22_5619,versiegelte,1
617,22_5619,starkregenereignisse,1
618,22_5619,verlangsamen,1
619,22_5619,südwesten,1
620,22_5640,bundeswehr,3
621,22_5640,hierbei,3
622,22_5640,soldaten,3
623,22_5640,stiften,2
624,22_5640,streitkräfte,2
625,22_5640,marco,2
626,22_5640,kräfte,2
627,22_5640,damals,2
628,22_5640,uniformierte,2
629,22_5640,helfer,2
630,22_5640,dankmedaille,2
631,22_5640,antrag,2
632,22_5640,mittels,2
633,22_5640,option,2
634,22_5640,daher,2
635,22_5640,coronakrise,2
636,22_5640,abgeordneten,2
637,22_5640,schulz,2
638,22_5640,orden,2
639,22_5640,überlegungen,2
640,22_5650,centro,18
641,22_5650,sociale,16
642,22_5650,jugend,5
643,22_5650,steg,5
644,22_5650,mietvertrag,5
645,22_5650,angeboten,4
646,22_5650,vorschriften,4
647,22_5650,laufzeit,4
648,22_5650,st,4
649,22_5650,hinaus,4
650,22_5650,projekte,4
651,22_5650,darüber,4
652,22_5650,hamburgmitte,4
653,22_5650,einrichtungen,4
654,22_5650,miethöhe,3
655,22_5650,mietpreis,3
656,22_5650,treuhänderin,3
657,22_5650,vergleichsmieten,3
658,22_5650,mietverhältnis,3
659,22_5650,sozialgenossenschaft,3
660,22_5653,deich,18
661,22_5653,nincoper,16
662,22_5653,marschkamper,13
663,22_5653,straße,8
664,22_5653,stade,6
665,22_5653,neuenfelder,6
666,22_5653,kmh,5
667,22_5653,straßen,5
668,22_5653,fährdeich,4
669,22_5653,höchstgeschwindigkeit,4
670,22_5653,lk,4
671,22_5653,neuenfelde,4
672,22_5653,beschränkt,4
673,22_5653,zulässige,4
674,22_5653,sv,4
675,22_5653,verkehr,3
676,22_5653,kfz,3
677,22_5653,stunden,3
678,22_5653,genannten,3
679,22_5653,umleitung,3
680,22_5654,machbarkeitsstudie,13
681,22_5654,weiteren,10
682,22_5654,entwicklung,9
683,22_5654,wohnungsbau,8
684,22_5654,erforderlich,8
685,22_5654,gemeinde,7
686,22_5654,ev,7
687,22_5654,denkmals,7
688,22_5654,durchgeführt,7
689,22_5654,ergebnisse,7
690,22_5654,vorgesehen,7
691,22_5654,vorschriften,6
692,22_5654,hbauo,6
693,22_5654,vorbemerkung,6
694,22_5654,planung,6
695,22_5654,untersuchungen,6
696,22_5654,wege,6
697,22_5654,weitere,5
698,22_5654,sinne,5
699,22_5654,dienen,5
700,22_5660,we,28
701,22_5660,gesamt,26
702,22_5660,bündnis,22
703,22_5660,wohneinheiten,22
704,22_5660,bezirk,20
705,22_5660,geförderte,17
706,22_5660,vordringlich,16
707,22_5660,konzeptausschreibungen,14
708,22_5660,vereinbart,13
709,22_5660,tabelle,13
710,22_5660,wandsbek,12
711,22_5660,hamburgmitte,12
712,22_5660,hamburgnord,12
713,22_5660,altona,12
